id haplogroupId colorR colorG colorB longitude latitude
h1 H1 80 10 40 -80.77917 28.35333
h2 H1 80 10 40 -122.52917 38.13972
h3 H2 80 10 40 -118.40972 34.17389
h4 H2 80 10 40 -122.13028 37.63222
h5 H3 80 10 40 -117.98333 34.03333
h6 H3 80 10 40 -116.92528 32.895
h7 H4 80 10 40 -122.15056 37.65056
h8 H4 80 10 40 -80.42 25.84278
h9 H4 80 10 40 -122.32361 37.89583
h10 H1 80 10 40 -117.98333 34.03333
h11 H1 80 10 40 -121.54139 36.66
h12 H3 80 10 40 -118.22611 34.13694
h13 H4 80 10 40 -80.36361 25.9
h14 H3 80 10 40 -124.075 43.73806
h15 H2 80 10 40 -80.42111 25.77278
h16 H1 80 10 40 -81.71167 30.11861
h17 H2 80 10 40 -80.92139 28.66306
h18 H1 80 10 40 -118.25667 34.08556
h19 H2 80 10 40 -80.48611 25.7675
h20 H1 80 10 40 -80.22083 26.17944
